MD,TVD,E_W,N_S,N_LAM,E_LAMI,MSLdepth,TEMP
0,0,0,0,246039,2352570,4180,
180,180,0,0,246039,2352568,4000,
218,218,0,0,246039,2352568,3962,
370,370,-1,-1,246038,2352567,3810,
462,462,-1,-2,246037,2352567,3718,
500,500,-1,-2,246037,2352567,3680,
604,604,-2,-4,246035,2352566,3576,
611,611,-2,-5,246034,2352566,3569,
641,641,-3,-5,246034,2352565,3539,
704,704,-3,-7,246032,2352565,3476,
735,735,-3,-7,246032,2352565,3445,
766,766,-2,-7,246032,2352566,3414,
797,797,-1,-7,246032,2352567,3383,
842,842,0,-7,246032,2352568,3338,
983,983,5,-6,246033,2352573,3197,
1000,1000,6,-6,246033,2352574,3180,
1134,1134,12,-2,246037,2352580,3046,
1180,1180,14,-1,246038,2352582,3000,150
1314,1313,23,1,246040,2352591,2867,
1470,1469,33,2,246041,2352601,2711,
1500,1499,35,3,246042,2352603,2681,
1625,1624,43,4,246043,2352611,2556,
1774,1772,53,7,246046,2352621,2408,
1799,1797,54,7,246046,2352622,2383,
1830,2828,56,7,246046,2352624,1352,
1860,1858,58,8,246047,2352626,2322,
1891,1889,61,8,246047,2352629,2291,
1923,1921,63,8,246047,2352631,2259,
1983,1981,69,8,246047,2352637,2199,
2000,1997,71,8,246047,2352639,2183,
2045,2042,77,8,246047,2352645,2138,
2107,2104,84,8,246047,2352652,2076
2169,2165,92,8,246047,2352660,2015
2184,2180,94,8,246047,2352662,2000
2246,2241,102,7,246046,2352670,1939
2308,2303,110,7,246046,2352678,1877
2368,2362,119,7,246046,2352687,1818
2425,2418,129,7,246046,2352697,1762
2500,2492,142,6,246045,2352710,1688
2528,2520,148,6,246045,2352716,1660
2609,2599,163,6,246045,2352731,1581
2714,2702,184,7,246046,2352752,1478
2776,2763,197,7,246046,2352765,1417
2837,2822,211,6,246045,2352779,1358
2899,2882,226,6,246045,2352794,1298
2993,2973,250,7,246046,2352818,1207
3000,2980,252,7,246046,2352820,1200
3086,3062,276,9,246048,2352844,1118
3210,3180,315,12,246051,2352883,1000
3211,3181,315,12,246051,2352883,999
3268,3235,334,14,246053,2352902,945
3363,3324,367,18,246057,2352935,856
3486,3439,409,24,246063,2352977,741
3500,3452,414,24,246063,2352982,728
3578,3525,441,28,246067,2353009,655
3668,3609,474,33,246072,2353042,571
3754,3689,504,40,246079,2353072,491
3847,3776,535,54,246093,2353103,404
3943,3865,566,72,246111,2553134,315
4028,3944,591,91,246130,2353159,236
4134,4041,623,119,246158,2353191,139
4196,4097,642,138,246177,2353210,83
4261,4155,661,159,246198,2353229,25
4289,4180,669,169,246208,2353237,0,
4324,4212,679,181,246220,2353247,-32,
4428,4304,708,218,246257,2353276,-124,
4524,4390,734,254,246293,2353302,-210,
4590,4448,751,279,246318,2353319,-268,
4648,4500,766,300,246339,2353334,-320,
4712,4558,782,323,246362,2353350,-378,
4805,4642,805,355,246394,2353373,-462,
4901,4729,829,387,246426,2353397,-549,
4994,4814,851,418,246457,2353419,-634,
5085,4897,873,450,246489,2353441,-717,
5212,5013,900,493,246532,2353468,-833,
5339,5129,927,535,246574,2353495,-949,
5394,5180,939,553,246592,2353507,-1000,415
5467,5248,953,577,246616,2353521,-1068,
5577,5350,975,612,246651,2353543,-1170,
5701,5464,1000,653,246692,2353568,-1284,
5828,5581,1025,696,246735,2353593,-1401,
5917,5663,1041,726,246765,2353609,-1483,
6052,5788,1065,771,246810,2353633,-1608,
6179,5906,1088,813,246852,2353656,-1726,
6306,6023,1111,857,246896,2353679,-1843,
6418,6126,1131,896,246935,2353699,-1946,
6477,6180,1142,917,246956,2353710,-2000,510
6545,6242,1153,941,246980,2353721,-2062,
6674,6361,1175,987,247026,2353743,-2181,
6801,6477,1196,1034,247073,2353764,-2297,
6928,6593,1217,1081,247120,2353785,-2413,
7057,6711,1238,1129,247168,2353806,-2531,
7184,6828,1259,1175,247214,2353827,-2648,
7317,6949,1283,1223,247262,2353851,-2769,
7443,7064,1306,1269,247308,2353874,-2884,
7497,7113,1316,1290,247329,2353884,-2933
7559,7169,1327,1313,247352,2353895,-2989
