		WELL DATA SUMMARY														
		 														
	Well	38C-9 Proposed														
	 	 	 	 												
	Sec Azim	260.0	 													
	Elev	KB=3856	KB													
 	Coords:	North	256195	EAST			2362121									
 					Course		 									
 	MD	Drift A.	Drift D.	Azim	Length	DH	TVD	SSD	DNS	DEW	N-S	E-W	DSec	Sec	N-LAM	E-LAM
 	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	_________	____________	_________
 				 												
 	0	0.0	32	148	0	0	0	3856	0.0	0.0	0.0	0.0	0.0	0.0	256195	2362121
 	217	1.0	32	148	217	2	217	3639	-1.6	1.0	-1.6	1.0	-0.7	-0.7	256193	2362122
 	407	0.8	15	165	190	3	407	3449	-2.7	1.2	-4.3	2.2	-0.7	-1.4	256191	2362123
 	601	2.5	26	154	194	6	601	3255	-5.2	1.9	-9.4	4.1	-1.0	-2.4	256186	2362125
 	720	2.5	23	157	119	5	720	3136	-4.7	2.2	-14.1	6.2	-1.3	-3.7	256181	2362127
 	815	2.5	0	162	95	4	815	3041	-3.9	1.5	-18.0	7.7	-0.8	-4.4	256177	2362129
	856	2.4	6	157	41	2	856	3000	-1.7	0.6	-19.7	8.3	-0.3	-4.8	256175	2362129
 	975	2.3	23	157	160	7	975	2881	-6.2	2.3	-24.2	10.0	-1.2	-5.7	256171	2362131
 	1134	2.0	25	155	159	6	1133	2723	-5.4	2.4	-29.6	12.4	-1.4	-7.1	256165	2362133
 	1357	3.0	0	197	223	10	1356	2500	-9.7	0.7	-39.3	13.1	1.0	-6.1	256156	2362134
 	1595	3.8	0	190	238	14	1594	2262	-13.6	-3.3	-52.9	9.8	5.6	-0.5	256142	2362131
 	1803	3.3	0	205	208	13	1801	2055	-12.1	-3.8	-65.1	6.0	5.9	5.4	256130	2362127
	1858	3.4	0	201	55	3	1856	2000	-3.0	-1.2	-68.0	4.8	1.7	7.1	256127	2362126
 	1964	3.8	0	192	161	10	1962	1894	-9.3	-3.1	-74.4	2.9	4.7	10.1	256121	2362124
 	1996	3.0	0	205	32	2	1994	1862	-1.8	-0.6	-76.2	2.3	0.9	11.0	256119	2362123
	2071	4.0	0	191	75	5	2069	1787	-4.4	-1.4	-80.5	0.9	2.1	13.1	256114	2362122
	2167	4.0	0	201	96	7	2165	1691	-6.4	-1.8	-87.0	-1.0	2.9	16.1	256108	2362120
	2198	3.8	0	191	31	2	2196	1660	-2.0	-0.6	-89.0	-1.6	0.9	17.0	256106	2362119
	2261	3.8	0	200	63	4	2258	1598	-4.0	-1.1	-92.9	-2.7	1.8	18.8	256102	2362118
	2291	4.0	0	211	30	2	2288	1568	-1.8	-0.9	-94.8	-3.5	1.2	19.9	256100	2362117
	2387	3.0	0	252	96	6	2384	1472	-3.6	-4.6	-98.4	-8.1	5.2	25.1	256097	2362113
	2417	2.0	0	240	30	1	2414	1442	-0.5	-1.2	-99.0	-9.3	1.3	26.4	256096	2362112
	2450	1.8	0	236	33	1	2447	1409	-0.6	-0.9	-99.5	-10.2	1.0	27.4	256095	2362111
-300bph	2493	2.1	0	284	43	1	2490	1366	-0.2	-1.4	-99.8	-11.6	1.4	28.8	256095	2362109
	2546	2.5	0	344	96	4	2543	1313	1.2	-3.3	-98.3	-13.6	3.1	30.4	256097	2362107
-250bph	2549	2.5	0	345	3	0	2546	1310	0.1	0.0	-98.2	-13.6	0.0	30.4	256097	2362107
	2609	2.8	0	359	63	3	2606	1250	2.9	-0.4	-95.5	-14.0	-0.1	30.4	256100	2362107
	2671	2.8	0	34	62	-3	2668	1188	2.9	0.8	-92.6	-13.2	-1.3	29.0	256102	2362108
	2703	3.0	0	47	32	2	2700	1156	1.2	1.0	-91.4	-12.1	-1.2	27.8	256104	2362109
	2736	4.8	0	50	33	2	2733	1123	1.5	1.7	-89.9	-10.4	-1.9	25.9	256105	2362111
	2768	4.8	0	40	32	3	2765	1091	1.9	1.9	-88.0	-8.6	-2.2	23.7	256107	2362112
	2815	5.3	0	33	47	4	2812	1044	3.3	2.4	-84.7	-6.1	-3.0	20.8	256110	2362115
	2860	5.8	0	25	45	4	2856	1000	3.8	2.1	-80.9	-4.0	-2.7	18.0	256114	2362117
	2910	6.5	0	17	95	10	2906	950	8.8	4.1	-75.9	-2.0	-5.6	15.2	256119	2362119
-240bph	2942	6.3	0	19	32	4	2938	918	3.4	1.1	-72.5	-0.9	-1.7	13.5	256122	2362120
 	3006	6.0	0	24	95	10	3002	854	9.8	3.7	-66.1	1.6	-5.3	9.9	256129	2362123
	3103	6.3	0	30	96	10	3098	758	9.2	4.7	-56.9	6.3	-6.2	3.6	256138	2362127
